院校名称,院校类型,是否是211,是否是985,是否有研究生院,院校隶属,所在地区,学校网址,特殊招生,学校排名,科学研究,星级,总分,人才培养,综合声誉,办学层次
北京戏曲艺术职业学院,艺术院校（专科）,,,,北京市教育委员会,北京,http://www.bjxx.com.cn/,[''],,,0,,,,
北京汇佳职业学院,语言院校（专科）,,,,北京市教育委员会,北京,http://www.hju.net.cn/,[''],,,0,,,,
北京现代职业技术学院,工科院校（专科）,,,,北京市教育委员会,北京,http://www.moderncollege.com.cn/,[''],,,0,,,,
北京科技经营管理学院,财经院校（专科）,,,,北京市教育委员会,北京,http://www.1985edu.com/,[''],,,0,,,,
北京吉利大学,财经院校（专科）,,,,北京市教育委员会,北京,http://www.bgu.edu.cn/,[''],,,0,,,,
首都师范大学科德学院,语言院校（本科）,,,,北京市教育委员会,北京,http://www.kdcnu.com/,[''],,,0,,,,
北京工商大学嘉华学院,财经院校（本科）,,,,北京市教育委员会,北京,http://www.canvard.edu.cn/,[''],,,0,,,,
北京科技职业学院,工科院校（专科）,,,,北京市教育委员会,北京,http://www.5aaa.com/,[''],,,0,,,,
北京培黎职业学院,语言院校（专科）,,,,北京市教育委员会,北京,http://www.bjpldx.edu.cn/,[''],,,0,,,,
南开大学,综合院校（本科）,211,985,研,教育部,天津,http://www.nankai.edu.cn/,['自主招生、艺术特长生、高水平运动员'],15,72.79,5,72.67,72.86,71.35,中国一流大学
天津大学,工科院校（本科）,211,985,研,教育部,天津,http://www.tju.edu.cn/,['自主招生、艺术特长生、高水平运动员'],23,69.99,5,70.03,69.98,70.45,中国一流大学
河北工业大学,工科院校（本科）,211,,,河北省教育厅,天津,http://www.hebut.edu.cn/,[''],116,61.4,3,62.98,63.77,66.03,中国知名大学
天津医科大学,医药院校（本科）,211,,,天津市教育委员会,天津,http://www.tmu.cn/,['高水平运动员'],121,61.37,3,62.91,64.05,64.27,中国知名大学
天津师范大学,师范院校（本科）,,,,天津市教育委员会,天津,http://www.tjnu.edu.cn/,['高水平运动员'],138,61.34,3,62.56,64.2,60.49,中国知名大学
天津中医药大学,医药院校（本科）,,,,天津市教育委员会,天津,http://www.tjutcm.edu.cn/,[''],168,61.18,4,62.24,63.72,60.16,中国高水平大学
天津工业大学,工科院校（本科）,,,,天津市教育委员会,天津,http://www.tjpu.edu.cn/,['高水平运动员'],172,61.39,0,62.22,63.45,60.33,
天津财经大学,财经院校（本科）,,,,天津市教育委员会,天津,http://www.tjufe.edu.cn/,['高水平运动员'],206,60.58,0,61.97,63.7,60.16,
天津科技大学,工科院校（本科）,,,,天津市教育委员会,天津,http://www.tust.edu.cn/,['高水平运动员'],236,60.6,0,61.82,63.36,60.16,
中国民航大学,工科院校（本科）,,,,中国民用航空总局,天津,http://www.cauc.edu.cn/,['高水平运动员'],268,60.62,0,61.73,63.1,60.33,
天津理工大学,工科院校（本科）,,,,天津市教育委员会,天津,http://www.tjut.edu.cn/,['高水平运动员'],276,60.52,0,61.7,63.17,60.16,
天津商业大学,财经院校（本科）,,,,天津市教育委员会,天津,http://www.tjcu.edu.cn/,['高水平运动员'],326,60.33,0,61.56,63.05,60.16,
天津城建大学,工科院校（本科）,,,,天津市教育委员会,天津,http://www.tjuci.edu.cn/,['高水平运动员'],367,60.25,0,61.47,62.95,60,
天津外国语大学,语言院校（本科）,,,,天津市教育委员会,天津,http://www.tjfsu.edu.cn/,['高水平运动员'],406,60.03,0,61.42,63.02,60.16,
天津职业技术师范大学,师范院校（本科）,,,,天津市教育委员会,天津,http://www.tute.edu.cn/,[''],410,60.04,0,61.41,63.03,60,
天津农学院,农业院校（本科）,,,,天津市教育委员会,天津,http://www.tjau.edu.cn/,[''],432,60.1,0,61.38,62.91,60,
天津体育学院,体育院校（本科）,,,,天津市教育委员会,天津,http://www.tjipe.edu.cn/,[''],,,0,,,,
天津音乐学院,艺术院校（本科）,,,,天津市教育委员会,天津,http://www.tjcm.edu.cn/,[''],,,0,,,,
天津美术学院,艺术院校（本科）,,,,天津市教育委员会,天津,http://www.tjarts.edu.cn/,[''],,,0,,,,
天津天狮学院,综合院校（本科）,,,,天津市教育委员会,天津,http://www.tianshi.edu.cn/,[''],,,0,,,,
天津职业大学,工科院校（专科）,,,,天津市教育委员会,天津,http://www.tjtc.edu.cn/,[''],,,0,,,,
天津中德职业技术学院,工科院校（专科）,,,,天津市教育委员会,天津,http://www.zdtj.cn/,[''],,,0,,,,
天津滨海职业学院,综合院校（专科）,,,,天津市教育委员会,天津,http://www.tjbpi.com.cn/,[''],,,0,,,,
天津工程职业技术学院,工科院校（专科）,,,,天津市教育委员会,天津,http://www.tjeti.com/,[''],,,0,,,,
天津青年职业学院,语言院校（专科）,,,,天津市教育委员会,天津,http://www.tjqnzyxy.cn/,[''],,,0,,,,
天津渤海职业技术学院,综合院校（专科）,,,,天津市教育委员会,天津,http://www.tjbhzy.com/,[''],,,0,,,,
天津电子信息职业技术学院,工科院校（专科）,,,,天津市教育委员会,天津,http://www.tjdz.net/,[''],,,0,,,,
天津机电职业技术学院,工科院校（专科）,,,,天津市教育委员会,天津,http://www.suoyuan.com.cn/,[''],,,0,,,,
天津现代职业技术学院,综合院校（专科）,,,,天津市教育委员会,天津,http://www.xdxy.com.cn/,[''],,,0,,,,
天津公安警官职业学院,政法院校（专科）,,,,天津市教育委员会,天津,http://www.tjjingyuan.cn/,[''],,,0,,,,
天津轻工职业技术学院,综合院校（专科）,,,,天津市教育委员会,天津,http://www.tjlivtc.edu.cn/,[''],,,0,,,,
天津对外经济贸易职业学院,财经院校（专科）,,,,天津市教育委员会,天津,http://tvic.tifert.edu.cn/,[''],,,0,,,,
天津国土资源和房屋职业学院,综合院校（专科）,,,,天津市教育委员会,天津,http://www.tjgfxy.com.cn/,[''],,,0,,,,
天津开发区职业技术学院,综合院校（专科）,,,,天津市教育委员会,天津,http://www.tedazj.com/,[''],,,0,,,,
天津艺术职业学院,艺术院校（专科）,,,,天津市教育委员会,天津,http://www.tjysxy.com/,[''],,,0,,,,
天津交通职业学院,综合院校（专科）,,,,天津市教育委员会,天津,http://www.tjtvc.com/,[''],,,0,,,,
河北工业大学城市学院,工科院校（本科）,,,,河北省教育厅,天津,http://cc.hebut.edu.cn/,[''],,,0,,,,
天津外国语大学滨海外事学院,语言院校（本科）,,,,天津市教育委员会,天津,http://bhws.tjfsu.edu.cn/,[''],,,0,,,,
天津体育学院运动与文化艺术学院,体育院校（本科）,,,,天津市教育委员会,天津,http://www.tjtwy.cn/,[''],,,0,,,,
天津商业大学宝德学院,财经院校（本科）,,,,天津市教育委员会,天津,http://www.boustead.edu.cn/,[''],,,0,,,,
天津医科大学临床医学院,医药院校（本科）,,,,天津市教育委员会,天津,,[''],,,0,,,,
南开大学滨海学院,综合院校（本科）,,,,天津市教育委员会,天津,http://binhai.nankai.edu.cn/,[''],,,0,,,,
天津冶金职业技术学院,工科院校（专科）,,,,天津市教育委员会,天津,http://www.tjmvti.cn/,[''],,,0,,,,
天津石油职业技术学院,工科院校（专科）,,,,天津市教育委员会,天津,http://www.tjsyxy.com/,[''],,,0,,,,
天津城市职业学院,综合院校（专科）,,,,天津市教育委员会,天津,http://www.tjcsxy.cn/,[''],,,0,,,,
华北电力大学,工科院校（本科）,211,,,教育部,河北,http://www.ncepu.edu.cn/,['自主招生、高水平运动员'],91,62.45,3,63.43,64.13,64.44,中国知名大学
河北大学,综合院校（本科）,,,,河北省教育厅,河北,http://www.hbu.edu.cn/,[''],107,61.8,3,63.19,64.55,62.96,中国知名大学
燕山大学,工科院校（本科）,,,,河北省教育厅,河北,http://www.ysu.edu.cn/,['高水平运动员'],112,62.18,3,63.09,64.26,61.81,中国知名大学
河北师范大学,师范院校（本科）,,,,河北省教育厅,河北,http://www.hebtu.edu.cn/,['高水平运动员'],148,60.72,3,62.46,64.22,61.97,中国知名大学
河北农业大学,农业院校（本科）,,,,河北省教育厅,河北,http://www.hebau.edu.cn/,['高水平运动员'],155,61.03,0,62.36,63.74,61.81,
河北医科大学,医药院校（本科）,,,,河北省教育厅,河北,http://www.hebmu.edu.cn/,[''],162,60.76,3,62.28,63.83,61.81,中国知名大学
石家庄铁道大学,工科院校（本科）,,,,河北省教育厅,河北,http://www.stdu.edu.cn/,[''],239,60.72,0,61.81,63.26,60,
河北科技大学,工科院校（本科）,,,,河北省教育厅,河北,http://www.hebust.edu.cn/,[''],281,60.32,0,61.69,63.33,60.16,
河北联合大学,综合院校（本科）,,,,河北省教育厅,河北,http://www.heuu.edu.cn/,[''],283,60.4,0,61.68,63.25,60.16,
河北经贸大学,财经院校（本科）,,,,河北省教育厅,河北,http://www.heuet.edu.cn/,[''],318,60.35,0,61.58,63.08,60.16,
河北工程大学,工科院校（本科）,,,,河北省教育厅,河北,http://www.hebeu.edu.cn/,['高水平运动员'],392,60.09,0,61.43,63.02,60,
石家庄经济学院,财经院校（本科）,,,,河北省教育厅,河北,http://www.sjzue.edu.cn/,['高水平运动员'],422,60.08,0,61.39,62.96,60,
河北北方学院,医药院校（本科）,,,,河北省教育厅,河北,http://www.hebeinu.edu.cn/,[''],441,60.04,0,61.37,62.94,60,
北华航天工业学院,工科院校（本科）,,,,河北省教育厅,河北,http://www.nciae.edu.cn/,[''],441,60.01,0,61.37,62.97,60,
华北科技学院,工科院校（本科）,,,,国家安全生产监督管理局,河北,http://www.ncist.edu.cn/,[''],456,60.05,0,61.36,62.92,60,
承德医学院,医药院校（本科）,,,,河北省教育厅,河北,http://www.cdmc.edu.cn/,[''],472,60.01,0,61.35,62.92,60,
唐山师范学院,师范院校（本科）,,,,河北省教育厅,河北,http://www.tstc.edu.cn/,[''],495,60.01,0,61.33,62.88,60,
唐山学院,工科院校（本科）,,,,河北省教育厅,河北,,[''],495,60,0,,62.88,60,
廊坊师范学院,师范院校（本科）,,,,河北省教育厅,河北,http://www.lfsfxy.edu.cn/,[''],495,60.02,0,61.33,62.89,60,
河北建筑工程学院,工科院校（本科）,,,,河北省教育厅,河北,http://www.hebiace.edu.cn/,[''],495,60,0,61.33,62.89,60,
河北科技师范学院,师范院校（本科）,,,,河北省教育厅,河北,http://www.hevttc.edu.cn/,[''],547,60.06,0,61.16,62.48,60,
石家庄学院,师范院校（本科）,,,,河北省教育厅,河北,http://www.sjzc.edu.cn/,[''],588,60.01,0,61.14,62.46,60,
防灾科技学院,工科院校（本科）,,,,中国地震局,河北,http://www.cidp.edu.cn/,[''],588,60.03,0,61.14,62.46,60,
邯郸学院,师范院校（本科）,,,,河北省教育厅,河北,http://www.hdc.edu.cn/,[''],617,60,0,61.13,62.46,60,
邢台学院,师范院校（本科）,,,,河北省教育厅,河北,http://www.xttc.edu.cn/,[''],617,60,0,61.13,62.46,60,
河北金融学院,财经院校（本科）,,,,河北省教育厅,河北,http://www.hbcf.edu.cn/,[''],617,60,0,61.13,62.46,60,
衡水学院,师范院校（本科）,,,,河北省教育厅,河北,http://www.hsnc.edu.cn/,[''],617,60,0,61.13,62.45,60,
沧州师范学院,师范院校（本科）,,,,河北省教育厅,河北,http://www.caztc.edu.cn/,[''],617,60.01,0,61.13,62.45,60,
保定学院,师范院校（本科）,,,,河北省教育厅,河北,http://www.bdu.edu.cn/,[''],617,60,0,61.13,62.45,60,
河北民族师范学院,师范院校（本科）,,,,河北省教育厅,河北,http://www.hbun.net/,[''],617,60,0,61.13,62.45,60,
河北中医学院,医药院校（本科）,,,,河北省教育厅,河北,http://www.hbcmc.edu.cn/,[''],682,60,0,60.04,60.09,60,
张家口学院,综合院校（本科）,,,,河北省教育厅,河北,http://www.zjku.edu.cn/,[''],687,60,0,60.02,60,60.16,
河北工程技术高等专科学校,工科院校（专科）,,,,河北省教育厅,河北,http://www.hbgz.edu.cn/,[''],,,0,,,,
河北工业职业技术学院,工科院校（专科）,,,,河北省教育厅,河北,http://www.hbcit.edu.cn/,[''],,,0,,,,
邯郸职业技术学院,综合院校（专科）,,,,河北省教育厅,河北,http://www.hd-u.com/,[''],,,0,,,,
中国人民武装警察部队学院,政法院校（本科）,,,,公安部,河北,http://www.wjxy.edu.cn/,[''],,,0,,,,
河北体育学院,体育院校（本科）,,,,河北省教育厅,河北,http://www.hepec.edu.cn/,[''],,,0,,,,
石家庄职业技术学院,工科院校（专科）,,,,河北省教育厅,河北,http://www.sjzpt.edu.cn/,[''],,,0,,,,
张家口职业技术学院,综合院校（专科）,,,,河北省教育厅,河北,http://www.zhz.cn/,[''],,,0,,,,
承德石油高等专科学校,工科院校（专科）,,,,河北省教育厅,河北,http://www.cdsygz.com/,[''],,,0,,,,
邢台职业技术学院,工科院校（专科）,,,,河北省教育厅,河北,http://www.xpc.edu.cn/,[''],,,0,,,,
中央司法警官学院,政法院校（本科）,,,,司法部,河北,http://www.cicp.edu.cn/,[''],,,0,,,,
河北软件职业技术学院,综合院校（专科）,,,,河北省教育厅,河北,http://www.hbsi.edu.cn/,[''],,,0,,,,
河北石油职业技术学院,工科院校（专科）,,,,河北省教育厅,河北,http://www.pvtc.edu.cn/,[''],,,0,,,,
河北建材职业技术学院,工科院校（专科）,,,,河北省教育厅,河北,http://www.hbjcxy.com/,[''],,,0,,,,
河北政法职业学院,政法院校（专科）,,,,河北省教育厅,河北,http://www.helc.edu.cn/,[''],,,0,,,,
沧州职业技术学院,工科院校（专科）,,,,河北省教育厅,河北,http://www.czvtc.cn/,[''],,,0,,,,
河北能源职业技术学院,工科院校（专科）,,,,河北省教育厅,河北,http://www.hbnyxy.cn/,[''],,,0,,,,
石家庄铁路职业技术学院,工科院校（专科）,,,,河北省教育厅,河北,http://www.sirt.edu.cn/,[''],,,0,,,,
保定职业技术学院,综合院校（专科）,,,,河北省教育厅,河北,http://www.bvtc.com.cn/,[''],,,0,,,,
秦皇岛职业技术学院,工科院校（专科）,,,,河北省教育厅,河北,http://www.qhdvtc.com/,[''],,,0,,,,
石家庄工程职业学院,工科院校（专科）,,,,河北省教育厅,河北,http://www.sjzevc.com/,[''],,,0,,,,
石家庄城市经济职业学院,语言院校（专科）,,,,河北省教育厅,河北,http://www.sjzwgyxy.com/,[''],,,0,,,,
河北传媒学院,艺术院校（本科）,,,,河北省教育厅,河北,http://www.hebic.cn/,['高水平运动员'],,,0,,,,
唐山职业技术学院,医药院校（专科）,,,,河北省教育厅,河北,http://www.tsvtc.com/,[''],,,0,,,,
衡水职业技术学院,财经院校（专科）,,,,河北省教育厅,河北,http://www.hsvtc.cn/,[''],,,0,,,,
唐山工业职业技术学院,工科院校（专科）,,,,河北省教育厅,河北,http://www.tsgzy.edu.cn/,[''],,,0,,,,
石家庄城市职业学院,财经院校（专科）,,,,河北省教育厅,河北,http://www.hbcsxy.com/,[''],,,0,,,,
邢台医学高等专科学校,医药院校（专科）,,,,河北省教育厅,河北,http://www.xtmc.net/,[''],,,0,,,,
河北省艺术职业学院,艺术院校（专科）,,,,河北省教育厅,河北,http://www.hebart.com/,[''],,,0,,,,
河北旅游职业学院,财经院校（专科）,,,,河北省教育厅,河北,http://www.hbtvc.com/,[''],,,0,,,,
石家庄财经职业学院,财经院校（专科）,,,,河北省教育厅,河北,http://www.sjzcj.edu.cn/,[''],,,0,,,,
河北交通职业技术学院,工科院校（专科）,,,,河北省教育厅,河北,http://www.hejtxy.edu.cn/,[''],,,0,,,,
河北化工医药职业技术学院,工科院校（专科）,,,,河北省教育厅,河北,http://www.hebcpc.cn/,[''],,,0,,,,
石家庄信息工程职业学院,工科院校（专科）,,,,河北省教育厅,河北,http://www.sjziei.com/,[''],,,0,,,,
河北外国语职业学院,语言院校（专科）,,,,河北省教育厅,河北,http://www.hbvcfl.com.cn/,[''],,,0,,,,
河北美术学院,艺术院校（本科）,,,,河北省教育厅,河北,http://www.hbafa.edu.cn/,[''],,,0,,,,
军械工程学院信息与管理分院,军事院校（本科）,,,,河北省教育厅,河北,,[''],,,0,,,,
河北科技学院,工科院校（本科）,,,,河北省教育厅,河北,http://www.hbkjxy.cn/,[''],,,0,,,,
保定电力职业技术学院,工科院校（专科）,,,,河北省教育厅,河北,http://www.bddy.cn/,[''],,,0,,,,
河北机电职业技术学院,工科院校（专科）,,,,河北省教育厅,河北,http://www.hbjd.com.cn/,[''],,,0,,,,
渤海石油职业学院,工科院校（专科）,,,,河北省教育厅,河北,http://www.bhsyxy.com/,[''],,,0,,,,
廊坊职业技术学院,工科院校（专科）,,,,河北省教育厅,河北,http://www.lfzhjxy.cn/,[''],,,0,,,,
唐山科技职业技术学院,工科院校（专科）,,,,河北省教育厅,河北,http://www.tskjzy.cn/,[''],,,0,,,,
石家庄邮电职业技术学院,工科院校（专科）,,,,河北省教育厅,河北,http://www.sjzpc.edu.cn/,[''],,,0,,,,
河北公安警察职业学院,政法院校（专科）,,,,河北省教育厅,河北,http://www.hebsjy.com/,[''],,,0,,,,
