院校名称,是否是211,是否是985,是否有研究生院,院校隶属,所在地区,学校排名,科学研究,星级,总分,人才培养,综合声誉,办学层次,自主招生,艺术特长生,高水平运动员,学历,类型,经度,纬度
江阴职业技术学院,0.0,0.0,0.0,0.34,0.14,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.05,0.12025210302104292,0.31879355016363814
无锡太湖学院,0.0,0.0,0.0,0.34,0.14,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.2,0.1,0.12031497542368627,0.3151614071621936
中国矿业大学徐海学院,0.0,0.0,0.0,0.34,0.14,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.2,0.05,0.11720536028727643,0.3422744330065958
南京大学金陵学院,0.0,0.0,0.0,0.34,0.14,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.2,0.1,0.10716238768915205,0.3437765706489786
南京理工大学紫金学院,0.0,0.0,0.0,0.34,0.14,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.2,0.05,0.11519044771833511,0.23641430253188642
南京航空航天大学金城学院,0.0,0.0,0.0,0.34,0.14,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.2,0.05,0.1188909240377166,0.3170711193182762
中国传媒大学南广学院,0.0,0.0,0.0,0.34,0.14,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.2,0.11,0.12533646998715917,0.4391031107654622
无锡城市职业技术学院,0.0,0.0,0.0,0.34,0.14,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.13,0.11635802472176521,0.4003803028116271
无锡工艺职业技术学院,0.0,0.0,0.0,0.34,0.14,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.05,0.1198406225042259,0.313451062276541
金山职业技术学院,0.0,0.0,0.0,0.34,0.14,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.05,0.12134848004512126,0.3074785237657032
健雄职业技术学院,0.0,0.0,0.0,0.34,0.14,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.05,0.121141399376984,0.3141773090628682
盐城工业职业技术学院,0.0,0.0,0.0,0.34,0.14,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.05,0.12018135930619891,0.3332714851621028
江苏财经职业技术学院,0.0,0.0,0.0,0.34,0.14,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.13,0.11906664499208432,0.3355724707363176
扬州工业职业技术学院,0.0,0.0,0.0,0.34,0.14,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.05,0.11940458150629113,0.32342028388645766
南京理工大学泰州科技学院,0.0,0.0,0.0,0.34,0.14,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.2,0.05,0.11994712353938619,0.32469467729253654
南京师范大学泰州学院,0.0,0.0,0.0,0.34,0.14,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.2,0.06,0.11994715686652065,0.3248181840727439
浙江大学,1.0,1.0,1.0,0.31,0.18,0.006,0.8341,0.5,0.8045,0.7834,0.7754000000000001,0.1,1.0,1.0,1.0,0.2,0.1,0.119826118822784,0.3028822340710897
浙江工业大学,0.0,0.0,0.0,0.38,0.18,0.093,0.6311,0.3,0.6341,0.6429,0.6084,0.2,-1.0,-1.0,1.0,0.2,0.05,0.12016932344965404,0.3030149823148658
浙江师范大学,0.0,0.0,0.0,0.38,0.18,0.115,0.6217,0.3,0.6301,0.6436,0.6061,0.2,-1.0,-1.0,1.0,0.2,0.06,0.12014586662668586,0.30289320492803656
宁波大学,0.0,0.0,0.0,0.38,0.18,0.161,0.6168,0.0,0.623,0.6329,0.6056,0.0,-1.0,-1.0,1.0,0.2,0.1,0.1216367685439812,0.2992020461503937
浙江理工大学,0.0,0.0,0.0,0.38,0.18,0.166,0.6164000000000001,0.0,0.6225,0.6325,0.6043999999999999,0.0,-1.0,-1.0,1.0,0.2,0.05,0.12036699243305542,0.3032235737353165
杭州师范大学,0.0,0.0,0.0,0.38,0.18,0.176,0.6143,0.0,0.6218,0.6328,0.6049,0.0,-1.0,-1.0,-1.0,0.2,0.06,0.12010139394631171,0.3031757413000221
温州医科大学,0.0,0.0,0.0,0.38,0.18,0.184,0.6147,0.3,0.6213000000000001,0.6318,0.6033,0.2,-1.0,-1.0,-1.0,0.2,0.04,0.12071732599548772,0.2793153505554936
浙江工商大学,0.0,0.0,0.0,0.38,0.18,0.194,0.6108,0.3,0.6204999999999999,0.6333,0.6043999999999999,0.2,-1.0,-1.0,1.0,0.2,0.13,0.12039566059577864,0.30314678100555326
杭州电子科技大学,0.0,0.0,0.0,0.38,0.18,0.226,0.6085,0.0,0.6188,0.6323,0.6028,0.0,-1.0,-1.0,-1.0,0.2,0.05,0.12038602599969248,0.30307681038932643
浙江农林大学,0.0,0.0,0.0,0.38,0.18,0.246,0.6088,0.0,0.6179,0.6302,0.6015999999999999,0.0,-1.0,-1.0,-1.0,0.2,0.08,0.11973503154237775,0.3024346255616197
温州大学,0.0,0.0,0.0,0.38,0.18,0.248,0.6059,0.0,0.6178,0.6315999999999999,0.6067,0.0,-1.0,-1.0,-1.0,0.2,0.05,0.12070081981140844,0.2792200600553822
中国计量学院,0.0,0.0,0.0,0.38,0.18,0.272,0.6076,0.0,0.6172,0.6299,0.6015999999999999,0.0,-1.0,-1.0,-1.0,0.2,0.05,0.12038247463868931,0.30325993690358205
浙江中医药大学,0.0,0.0,0.0,0.38,0.18,0.276,0.605,0.0,0.617,0.6318,0.6015999999999999,0.0,-1.0,-1.0,1.0,0.2,0.04,0.11989581699984493,0.30091653237814864
浙江财经大学,0.0,0.0,0.0,0.38,0.18,0.318,0.6038,0.0,0.6158,0.6305,0.6015999999999999,0.0,-1.0,-1.0,1.0,0.2,0.13,0.12014832996005531,0.3028617101589154
绍兴文理学院,0.0,0.0,0.0,0.38,0.18,0.333,0.6035,0.0,0.6154,0.6297999999999999,0.6015999999999999,0.0,-1.0,-1.0,-1.0,0.2,0.06,0.1205993956566278,0.30021981356778427
浙江海洋学院,0.0,0.0,0.0,0.38,0.18,0.363,0.6035,0.0,0.6148,0.629,0.6,0.0,-1.0,-1.0,-1.0,0.2,0.03,0.12212044795800649,0.30038621195594173
湖州师范学院,0.0,0.0,0.0,0.38,0.18,0.392,0.6019,0.0,0.6143,0.6294,0.6,0.0,-1.0,-1.0,-1.0,0.2,0.06,0.1201407956022515,0.3088144539951545
嘉兴学院,0.0,0.0,0.0,0.38,0.18,0.422,0.6011,0.0,0.6139,0.6289,0.6015999999999999,0.0,-1.0,-1.0,-1.0,0.2,0.13,0.12072916496042975,0.30748738231983713
浙江科技学院,0.0,0.0,0.0,0.38,0.18,0.441,0.601,0.0,0.6137,0.6289,0.6,0.0,-1.0,-1.0,-1.0,0.2,0.05,0.12003168957094276,0.3022612042589672
宁波工程学院,0.0,0.0,0.0,0.38,0.18,0.519,0.602,0.0,0.6121,0.6246,0.6,0.0,-1.0,-1.0,-1.0,0.2,0.05,0.12125199062486966,0.30329995203612947
