院校名称,是否是211,是否是985,是否有研究生院,院校隶属,所在地区,学校排名,科学研究,星级,总分,人才培养,综合声誉,办学层次,自主招生,艺术特长生,高水平运动员,学历,类型,经度,纬度
天津艺术职业学院,,,,天津市教育委员会,天津,,,0,,,,,,,,专科,艺术,117.28145475889063,39.097083100235146
天津交通职业学院,,,,天津市教育委员会,天津,,,0,,,,,,,,专科,综合,117.08314708027167,39.1549567766893
河北工业大学城市学院,,,,河北省教育厅,天津,,,0,,,,,,,,本科,工科,117.17511443058604,39.1794983095241
天津外国语大学滨海外事学院,,,,天津市教育委员会,天津,,,0,,,,,,,,本科,语言,117.47448579094397,38.8681164008378
天津体育学院运动与文化艺术学院,,,,天津市教育委员会,天津,,,0,,,,,,,,本科,体育,117.19069086846797,39.079655333673344
天津商业大学宝德学院,,,,天津市教育委员会,天津,,,0,,,,,,,,本科,财经,117.09940263711913,39.097886925256844
天津医科大学临床医学院,,,,天津市教育委员会,天津,,,0,,,,,,,,本科,医药,117.46999561085235,38.87313410918853
南开大学滨海学院,,,,天津市教育委员会,天津,,,0,,,,,,,,本科,综合,119.82762105908833,33.99564654746655
天津冶金职业技术学院,,,,天津市教育委员会,天津,,,0,,,,,,,,专科,工科,117.12113103045556,39.265666073582885
天津石油职业技术学院,,,,天津市教育委员会,天津,,,0,,,,,,,,专科,工科,117.22500533047416,38.849007088779494
天津城市职业学院,,,,天津市教育委员会,天津,,,0,,,,,,,,专科,综合,117.24350189007735,39.15551912216242
华北电力大学,211.0,,,教育部,河北,91.0,62.45,3,63.43,64.13,64.44,中国知名大学,1.0,,1.0,本科,工科,116.31637020543697,40.09568744021479
河北大学,,,,河北省教育厅,河北,107.0,61.8,3,63.19,64.55,62.96,中国知名大学,,,,本科,综合,115.52262045003748,38.87619916764611
燕山大学,,,,河北省教育厅,河北,112.0,62.18,3,63.09,64.26,61.81,中国知名大学,,,1.0,本科,工科,114.16201970596791,40.11570600135541
河北师范大学,,,,河北省教育厅,河北,148.0,60.72,3,62.46,64.22,61.97,中国知名大学,,,1.0,本科,师范,116.37214096404064,39.96734505008757
河北农业大学,,,,河北省教育厅,河北,155.0,61.03,0,62.36,63.74,61.81,,,,1.0,本科,农业,115.48989068878143,38.85584131808213
河北医科大学,,,,河北省教育厅,河北,162.0,60.76,3,62.28,63.83,61.81,中国知名大学,,,,本科,医药,117.20359278135501,39.15348514470478
石家庄铁道大学,,,,河北省教育厅,河北,239.0,60.72,0,61.81,63.26,60.0,,,,,本科,工科,114.51614961428086,38.08724582223373
河北科技大学,,,,河北省教育厅,河北,281.0,60.32,0,61.69,63.33,60.16,,,,,本科,工科,117.20359278135501,39.15348514470478
河北联合大学,,,,河北省教育厅,河北,283.0,60.4,0,61.68,63.25,60.16,,,,,本科,综合,117.20359278135501,39.15348514470478
河北经贸大学,,,,河北省教育厅,河北,318.0,60.35,0,61.58,63.08,60.16,,,,,本科,财经,114.46374094370938,38.01427570264713
河北工程大学,,,,河北省教育厅,河北,392.0,60.09,0,61.43,63.02,60.0,,,,1.0,本科,工科,114.50835843093172,36.624035316824816
石家庄经济学院,,,,河北省教育厅,河北,422.0,60.08,0,61.39,62.96,60.0,,,,1.0,本科,财经,114.55573686013899,38.02766995881768
河北北方学院,,,,河北省教育厅,河北,441.0,60.04,0,61.37,62.94,60.0,,,,,本科,医药,114.88583224521028,40.77612067289682
