大学名称,大学详情页链接
太原城市职业技术学院,https://daxue.911cha.com/1651.html
山西大学商务学院,https://daxue.911cha.com/1652.html
太原理工大学现代科技学院,https://daxue.911cha.com/1653.html
山西农业大学信息学院,https://daxue.911cha.com/1654.html
山西师范大学现代文理学院,https://daxue.911cha.com/1655.html
中北大学信息商务学院,https://daxue.911cha.com/1656.html
山西信息职业技术学院,https://daxue.911cha.com/1657.html
太原科技大学华科学院,https://daxue.911cha.com/1691.html
山西医科大学晋祠学院,https://daxue.911cha.com/1692.html
山西财经大学华商学院,https://daxue.911cha.com/1702.html
山西工商学院,https://daxue.911cha.com/1778.html
山西体育职业学院,https://daxue.911cha.com/1779.html
山西警官职业学院,https://daxue.911cha.com/1780.html
山西国际商务职业学院,https://daxue.911cha.com/1781.html
潞安职业技术学院,https://daxue.911cha.com/1782.html
太原旅游职业学院,https://daxue.911cha.com/1783.html
山西旅游职业学院,https://daxue.911cha.com/1784.html
山西管理职业学院,https://daxue.911cha.com/1785.html
山西电力职业技术学院,https://daxue.911cha.com/1827.html
忻州职业技术学院,https://daxue.911cha.com/1901.html
山西同文外语职业学院,https://daxue.911cha.com/1928.html
内蒙古大学,https://daxue.911cha.com/105.html
内蒙古农业大学,https://daxue.911cha.com/108.html
内蒙古师范大学,https://daxue.911cha.com/110.html
内蒙古科技大学,https://daxue.911cha.com/106.html
内蒙古工业大学,https://daxue.911cha.com/107.html
内蒙古医科大学,https://daxue.911cha.com/109.html
内蒙古民族大学,https://daxue.911cha.com/111.html
内蒙古财经大学,https://daxue.911cha.com/113.html
呼伦贝尔学院,https://daxue.911cha.com/594.html
河套学院,https://daxue.911cha.com/829.html
赤峰学院,https://daxue.911cha.com/112.html
呼和浩特民族学院,https://daxue.911cha.com/848.html
集宁师范学院,https://daxue.911cha.com/770.html
内蒙古建筑职业技术学院,https://daxue.911cha.com/637.html
内蒙古丰州职业学院,https://daxue.911cha.com/771.html
包头职业技术学院,https://daxue.911cha.com/915.html
兴安职业技术学院,https://daxue.911cha.com/1002.html
呼和浩特职业学院,https://daxue.911cha.com/1100.html
包头轻工职业技术学院,https://daxue.911cha.com/1101.html
内蒙古电子信息职业技术学院,https://daxue.911cha.com/1102.html
内蒙古机电职业技术学院,https://daxue.911cha.com/1103.html
内蒙古化工职业学院,https://daxue.911cha.com/1104.html
内蒙古商贸职业学院,https://daxue.911cha.com/1105.html
锡林郭勒职业学院,https://daxue.911cha.com/1106.html
内蒙古警察职业学院,https://daxue.911cha.com/1205.html
内蒙古体育职业学院,https://daxue.911cha.com/1289.html
乌兰察布职业学院,https://daxue.911cha.com/1786.html
通辽职业学院,https://daxue.911cha.com/1822.html
科尔沁艺术职业学院,https://daxue.911cha.com/1823.html
内蒙古交通职业技术学院,https://daxue.911cha.com/1903.html
大连理工大学,https://daxue.911cha.com/115.html
东北大学,https://daxue.911cha.com/119.html
辽宁大学,https://daxue.911cha.com/114.html
中国医科大学,https://daxue.911cha.com/131.html
东北财经大学,https://daxue.911cha.com/143.html
大连海事大学,https://daxue.911cha.com/125.html
沈阳农业大学,https://daxue.911cha.com/129.html
辽宁工程技术大学,https://daxue.911cha.com/121.html
辽宁师范大学,https://daxue.911cha.com/137.html
沈阳工业大学,https://daxue.911cha.com/116.html
大连医科大学,https://daxue.911cha.com/133.html
沈阳药科大学,https://daxue.911cha.com/135.html
大连工业大学,https://daxue.911cha.com/126.html
沈阳建筑大学,https://daxue.911cha.com/127.html
沈阳师范大学,https://daxue.911cha.com/138.html
大连大学,https://daxue.911cha.com/725.html
辽宁中医药大学,https://daxue.911cha.com/134.html
大连交通大学,https://daxue.911cha.com/124.html
辽宁工业大学,https://daxue.911cha.com/128.html
辽宁科技大学,https://daxue.911cha.com/120.html
沈阳航空航天大学,https://daxue.911cha.com/117.html
渤海大学,https://daxue.911cha.com/139.html
大连民族学院,https://daxue.911cha.com/899.html
沈阳大学,https://daxue.911cha.com/671.html
辽宁医学院,https://daxue.911cha.com/132.html
沈阳理工大学,https://daxue.911cha.com/118.html
沈阳化工大学,https://daxue.911cha.com/123.html
大连外国语大学,https://daxue.911cha.com/142.html
大连海洋大学,https://daxue.911cha.com/130.html
辽宁石油化工大学,https://daxue.911cha.com/122.html
沈阳医学院,https://daxue.911cha.com/136.html
鞍山师范学院,https://daxue.911cha.com/140.html
辽东学院,https://daxue.911cha.com/857.html
沈阳工程学院,https://daxue.911cha.com/830.html
辽宁科技学院,https://daxue.911cha.com/772.html
营口理工学院,https://daxue.911cha.com/1974.html
朝阳师范高等专科学校,https://daxue.911cha.com/141.html
中国刑事警察学院,https://daxue.911cha.com/144.html
沈阳体育学院,https://daxue.911cha.com/145.html
沈阳音乐学院,https://daxue.911cha.com/146.html
鲁迅美术学院,https://daxue.911cha.com/147.html
抚顺师范高等专科学校,https://daxue.911cha.com/148.html
锦州师范高等专科学校,https://daxue.911cha.com/149.html
营口职业技术学院,https://daxue.911cha.com/150.html
铁岭师范高等专科学校,https://daxue.911cha.com/151.html
辽宁对外经贸学院,https://daxue.911cha.com/611.html
大连职业技术学院,https://daxue.911cha.com/614.html
辽宁农业职业技术学院,https://daxue.911cha.com/655.html
抚顺职业技术学院,https://daxue.911cha.com/672.html
辽阳职业技术学院,https://daxue.911cha.com/723.html
阜新高等专科学校,https://daxue.911cha.com/724.html
辽宁警官高等专科学校,https://daxue.911cha.com/773.html
辽宁交通高等专科学校,https://daxue.911cha.com/793.html
盘锦职业技术学院,https://daxue.911cha.com/921.html
沈阳航空职业技术学院,https://daxue.911cha.com/1051.html
辽宁体育运动职业技术学院,https://daxue.911cha.com/1052.html
辽宁职业学院,https://daxue.911cha.com/1053.html
辽宁林业职业技术学院,https://daxue.911cha.com/1054.html
沈阳职业技术学院,https://daxue.911cha.com/1055.html
辽宁理工职业学院,https://daxue.911cha.com/1056.html
沈阳炮兵学院,https://daxue.911cha.com/1099.html
大连商务职业学院,https://daxue.911cha.com/1142.html
大连艺术职业学院,https://daxue.911cha.com/1247.html
大连东软信息技术职业学院,https://daxue.911cha.com/1248.html
辽宁金融职业学院,https://daxue.911cha.com/1290.html
